term,estimate,std.error,statistic,p.value
(Intercept),1.1220758070192611,0.028733730066943346,4.008542181543858,6.109472723669973e-5
adv-1,0.83078467108122,0.02047907012866665,-9.052395288389706,1.3986594673734014e-19
adv0,0.6729282130195944,0.01994735891453037,-19.85809870153052,9.379466775033449e-88
adv1,0.5300371037329319,0.022631155851727786,-28.050192045079122,3.973035601099702e-173
adv2,0.34609302995287666,0.034949566862626916,-30.359393910047196,1.888551470645754e-202
adv3,0.07546694397464643,0.17479462562964837,-14.783409601089947,1.8743247776522793e-49
adv-3,0.8779484681543867,0.06659505998359531,-1.954610137878436,0.050629103815863385
adv-4,0.23295142045039932,0.8173262989549969,-1.7825504268473147,0.07465951563103267
ABEZY_AGAINST,0.9613652525901216,0.09264391329802436,-0.4252936354219003,0.6706226326515282
ABEZY_DEAD,0.9241677376416079,0.11089046076624129,-0.711167480292802,0.47698045777409176
ACCURACY_AGAINST,1.1242625783917746,0.0482392234994675,2.428051829211294,0.015180173751547071
ACCURACY_DEAD,0.8686801740052179,0.06457937269021391,-2.1799570778507094,0.029260643340369263
ACHES_AGAINST,1.1190522722978282,0.05407208546230605,2.0802256964926564,0.0375048363602785
ACHES_DEAD,0.7809459176923288,0.07141085803615878,-3.4623499262255013,5.35480452662952e-4
ALEX_AGAINST,1.3059694130752648,0.05894702576495533,4.528567926980589,5.938479112688312e-6
ALEX_DEAD,0.9180158684116931,0.08369346480120823,-1.0220702758896023,0.30674764027528734
APATHY_AGAINST,1.0827016977482886,0.05398038922789663,1.472006603490842,0.14101909437457247
APATHY_DEAD,0.8680698706335862,0.07172977067273434,-1.9724456123705805,0.04855875923384472
AQUA_AGAINST,1.2802076740714279,0.04889569310293318,5.052025944687019,4.3714830258716377e-7
AQUA_DEAD,0.8683991264666066,0.06932877369275815,-2.035285486443979,0.04182215566655934
ARCITYS_AGAINST,1.104377374049304,0.054008258502439656,1.8382691188203664,0.06602275922030873
ARCITYS_DEAD,0.8711567726943299,0.07394006085306407,-1.8654748876656628,0.06211486897798434
ASSAULT_AGAINST,1.2314490665681697,0.04254745147962714,4.893162143126272,9.922858890679765e-7
ASSAULT_DEAD,0.9239911303007311,0.06290948766225397,-1.2566118333783705,0.20889422768118066
ATTACH_AGAINST,1.0961727374864692,0.05640383290170956,1.6279883578623788,0.10352735438513093
ATTACH_DEAD,0.8651270672493458,0.0870319452717029,-1.6646632892364166,0.0959799509515985
BANCE_AGAINST,1.2085424048130091,0.05531925816563853,3.424033792665285,6.169894818814233e-4
BANCE_DEAD,0.850998480802985,0.07790517981965799,-2.0710424643680208,0.038354827868341435
BELIEVE_AGAINST,1.0830887068024124,0.09767413058354284,0.8171751577669503,0.4138283370556015
BELIEVE_DEAD,0.8589354665275774,0.15507313912318274,-0.9805791445078681,0.326800323060437
BLAZT_AGAINST,1.106766471845035,0.046763820687494115,2.169255507882339,0.03006329105976554
BLAZT_DEAD,0.9730136218392399,0.06496867861298351,-0.42108286090157165,0.6736945763768656
BUZZO_AGAINST,1.2160578902096653,0.0648872357771046,3.014682119655548,0.002572487158531525
BUZZO_DEAD,0.8427754883016471,0.10100527348117017,-1.6935222808412478,0.0903560974841678
CENSOR_AGAINST,1.044763707392411,0.053871285752072645,0.812877248226358,0.41628844021629263
CENSOR_DEAD,0.8927994951360126,0.07337557445263088,-1.5453814663122072,0.12225402058855352
CHINO_AGAINST,1.159195091401525,0.045090554827370746,3.276204475864286,0.0010521235748528967
CHINO_DEAD,0.8506156139508498,0.06267806985628041,-2.5813644278706813,0.009841063577008495
CLASSIC_AGAINST,1.0866168120694268,0.051469804792959484,1.6139370943505682,0.10654107161756879
CLASSIC_DEAD,0.8600338864025504,0.06745672572244198,-2.2352624753476045,0.025400122053443934
