term,estimate,std.error,statistic,p.value
(Intercept),0.10461008824008929,0.09202860671954056,-24.5305820286055,6.970752114037525e-133
.pred_WIN,321.1527361410095,0.10567676025198547,54.618601192229555,0
adv-2,0.9173416802773889,0.07316614910351851,-1.1791691999089364,0.2383308078887343
adv-1,0.7923826528852123,0.07116516291719613,-3.27001086942434,0.001075433519392807
adv0,0.4926126306609326,0.07105757592678891,-9.964203585387134,2.1861895015675485e-23
adv1,0.3022502949423074,0.07133070688810146,-16.773979480426824,3.7830244538648796e-63
adv2,0.2580321249819456,0.07335080488313812,-18.468388840944225,3.7099236571289725e-76
adv3,0.26590953932404243,0.0981093970673934,-13.501246010708348,1.537535614575459e-41
ABEZY_ENGTRUE,1.0662360182818729,0.0879703631792762,0.7290490164746926,0.4659716795965893
ACCURACY_ENGTRUE,1.1075123775358835,0.04762737288806827,2.1440695294977967,0.03202731610438478
ACHES_ENGTRUE,1.073946360102678,0.052663398310989484,1.3546419921417465,0.1755316477148949
ALEX_ENGTRUE,1.0767542902233354,0.06580525425524066,1.1237891290028763,0.2611024943647985
APATHY_ENGTRUE,1.1419626281302142,0.05155057798580853,2.5751095517324925,0.010020834157676094
AQUA_ENGTRUE,1.0556770234000041,0.05303736922789808,1.0215870477448645,0.3069763904875806
ARCITYS_ENGTRUE,1.2501085528777571,0.049171113848532205,4.539868479153938,5.628932864927707e-6
ASSAULT_ENGTRUE,1.131603334706449,0.05175598261614652,2.3888157675016517,0.016902776058122723
ATTACH_ENGTRUE,1.0651682476791096,0.0469974535844464,1.34332311455965,0.17916737065032431
BANCE_ENGTRUE,1.0179644723912833,0.05092800523982616,0.34961153527051525,0.726630252740996
BELIEVE_ENGTRUE,1.123748997796377,0.09863206391361339,1.1828852640342604,0.23685462254408712
BLAZT_ENGTRUE,1.0174969382381411,0.056739704218397725,0.30570531634702164,0.7598290251255713
BUZZO_ENGTRUE,1.0546545134299374,0.05577721290645137,0.9540318546147671,0.34006751823750603
CENSOR_ENGTRUE,0.8604872938075336,0.06525030601042439,-2.3027697291265254,0.02129180254883555
CHINO_ENGTRUE,1.1793947790323986,0.04909680280747397,3.360736307448935,7.773500189157135e-4
CLASSIC_ENGTRUE,0.9813942829507243,0.05166104485897965,-0.3635424098818923,0.7161997382832745
CLAYSTER_ENGTRUE,1.0857780929921788,0.049373231153376405,1.666831690955287,0.09554787677234215
CRIMSIX_ENGTRUE,1.3377149216582658,0.04958899876206228,5.867488419463853,4.424458992202498e-9
DAMAGE_ENGTRUE,1.0706383616418809,0.07689854641584713,0.8875989654627445,0.3747565103530789
DASHY_ENGTRUE,1.38122819665359,0.05989231952002702,5.3925629115628215,6.945976858299565e-8
DECEMATE_ENGTRUE,1.1182963763443508,0.05483141180630186,2.0390945817069976,0.04144058887542733
DENZ_ENGTRUE,1.0919119705753204,0.05209497035580366,1.6878838868030837,0.09143352032425632
DENZA_ENGTRUE,1.0902535357994754,0.15007811862960213,0.5757686172601932,0.564771588423381
DIABOLIC_ENGTRUE,0.9847468074232294,0.09314172068472994,-0.16502507191103571,0.8689242480723187
