term,estimate,std.error,statistic,p.value
(Intercept),0.17725573593895186,0.062210108237662834,-27.811585647081706,3.1417657143043526e-170
.pred_WIN,41.372534348071724,0.03574444049240315,104.14534925835062,0
adv-2,0.999184553251079,0.05905382563018177,-0.013814166953131415,0.9889782400181546
adv-1,0.9075123964550984,0.05750607839661667,-1.6876138251242658,0.091485383599082
adv0,0.784691642365247,0.05737308365021051,-4.226101077684719,2.3777521924780236e-5
adv1,0.6784637006334152,0.05763741957276072,-6.73042449590506,1.69168816315251e-11
adv2,0.624231717851746,0.05927603299654826,-7.949817371544737,1.8678666911131292e-15
adv3,0.6045510786370828,0.08025176686214842,-6.271128161323313,3.584414219420543e-10
ABEZY_ENGTRUE,1.1155276873783042,0.05718156381490111,1.9119371330142174,0.05588425811915768
ACCURACY_ENGTRUE,1.1956729002808315,0.03029289576874387,5.8993740558092735,3.6488317278248733e-9
ACHES_ENGTRUE,1.0835107130706618,0.03281285374593053,2.444360067965673,0.014510936035791984
ALEX_ENGTRUE,1.1027124555930377,0.04280907763531289,2.2839317887809023,0.02237554004800972
APATHY_ENGTRUE,1.1395078683648447,0.03281027878418712,3.980352487760079,6.881315539427794e-5
AQUA_ENGTRUE,1.163406299822768,0.034645655794199946,4.368575627173329,1.250595107779516e-5
ARCITYS_ENGTRUE,1.2449514441798435,0.03181728754793048,6.886084433417273,5.7348960782048296e-12
ASSAULT_ENGTRUE,1.2331599581684598,0.03327954690483164,6.297560097253631,3.0236714747647656e-10
ATTACH_ENGTRUE,1.1462140488990629,0.03024519713483492,4.511935544250632,6.423871140041059e-6
BANCE_ENGTRUE,1.1050874600829772,0.03233735236083232,3.0900637788441188,0.002001135188924338
BELIEVE_ENGTRUE,1.0911084442068546,0.06198559615331002,1.4066832656074768,0.15952133011160427
BLAZT_ENGTRUE,1.0320045181878317,0.0364389518682758,0.8645431200286063,0.387289603489951
BUZZO_ENGTRUE,0.9927651859246398,0.035616846517551454,-0.2038673541061635,0.8384571569393195
CENSOR_ENGTRUE,0.9071657195765161,0.0412271860847888,-2.363249666982957,0.018115460799911838
CHINO_ENGTRUE,1.1775311024843873,0.0316075876880056,5.170276269488488,2.3374817007340802e-7
CLASSIC_ENGTRUE,1.030221776131167,0.03286735369455443,0.9058866123858133,0.3649958710198141
CLAYSTER_ENGTRUE,1.1778274349242996,0.031241789462455996,5.238867153172786,1.6156528400989287e-7
CRIMSIX_ENGTRUE,1.2429578447172527,0.03177422008473299,6.84497989968184,7.648661007068371e-12
DAMAGE_ENGTRUE,1.126217763063875,0.04943652462266463,2.4043944671940256,0.016199282705214906
DASHY_ENGTRUE,1.344297868249279,0.0398313341782207,7.428117882842851,1.1015376996332836e-13
DECEMATE_ENGTRUE,1.0689093617092755,0.034898367040419695,1.9095117100194576,0.056196112580403336
DENZ_ENGTRUE,1.2150457581622336,0.033601422903473156,5.796830023590901,6.7580124078048534e-9
DENZA_ENGTRUE,1.1522034539976913,0.10086555722423851,1.4046039099167391,0.16013909332604792
DIABOLIC_ENGTRUE,1.064332199899011,0.058491769728489976,1.0659202214119592,0.286459707103001
DQVEE_ENGTRUE,1.0411629321549505,0.03864394169149661,1.0438451839628018,0.2965570228577045
ENABLE_ENGTRUE,1.1150887547111117,0.03293968711590604,3.307074593592159,9.427578403892942e-4
FACCENTO_ENGTRUE,1.0465763668863144,0.03400542802672234,1.3387343285017546,0.18065717655404895
FELONY_ENGTRUE,1.0362489256623384,0.036388715176257275,0.9785283854918977,0.3278130593116554
FERO_ENGTRUE,1.1511412519578377,0.032108896090179764,4.383640063185609,1.1671255049718718e-5
FIGHTA_ENGTRUE,0.9936085970968555,0.033278683359984344,-0.19267334883159684,0.847214796893854
FORMAL_ENGTRUE,1.3002900385447245,0.03217817722080898,8.160417053890049,3.3386977230448963e-16
GENERAL_ENGTRUE,1.1476900022554148,0.045990948811798535,2.9951812717991815,0.002742817859504028
GODRX_ENGTRUE,1.1448820477643333,0.05165082514052306,2.619544146268674,0.00880473756523861
GOONJAR_ENGTRUE,1.1711761403932488,0.05055906522605624,3.1252257410007247,0.001776686584293808
GUNLESS_ENGTRUE,1.2461553012176978,0.030567789265940337,7.1991811545610584,6.057522812349865e-13
HAWQEH_ENGTRUE,1.0173291227575545,0.03938456066806035,0.43622895922038946,0.6626706188369123
HUKE_ENGTRUE,1.2171904242530074,0.03221795923308863,6.100487947090612,1.0574515627869696e-9
JKAP_ENGTRUE,1.0979766779290978,0.030452268903531858,3.069364146760943,0.0021451494421697126
JOEE_ENGTRUE,0.9203686305566708,0.030567103191192133,-2.714715990104989,0.00663326295370118
JOHN_ENGTRUE,1.181353607853778,0.02932504364211559,5.683227904648016,1.3217594218180326e-8
JOHNNY_ENGTRUE,1.1873780742276985,0.13088080916940825,1.3122441587170675,0.18943776672094192
JOSHH_ENGTRUE,0.9960674278850686,0.03232839188839355,-0.12188434929910415,0.9029906106572508
JURD_ENGTRUE,1.100942136980904,0.03393590986157115,2.8337622826194147,0.004600353916089566
JURNII_ENGTRUE,1.1048041700437268,0.0689572568844449,1.445360533282699,0.148356643005902
KARMA_ENGTRUE,1.0491249931443727,0.03868986813770813,1.2395099594433778,0.21515670275866097
KENNY_ENGTRUE,1.2068635149686548,0.029160961365325287,6.447827815449678,1.134645630862352e-10
LACEFIELD_ENGTRUE,1.1000345272287244,0.05035516716269145,1.8933820116897269,0.058307085850864165
LLAMAGOD_ENGTRUE,0.9648980698665391,0.081823091440763,-0.43670814282615994,0.6623230231183603
LOONY_ENGTRUE,1.08676981372856,0.03215447607502035,2.587814605369283,0.009658694972608997
LUCKY_ENGTRUE,1.003321050958886,0.06981406298434925,0.04749112581046323,0.9621218029342564
MADCAT_ENGTRUE,1.1477664299997092,0.034189231723729084,4.031030007406994,5.553295240066048e-5
