player_id,kills_traded_pct,deaths_traded_pct,got_two_pct,failed_death_trade,n,kills_traded_p,deaths_traded_p,got_two_p,failed_death_p
ABEZY,0.5053879310344828,0.4957356076759062,0.34541577825159914,0.35913978494623655,2304,0.8486842105263158,0.9276315789473685,0.743421052631579,0.32894736842105265
ACCURACY,0.46245530393325385,0.45722264534145723,0.3561855670103093,0.3381454747362576,9895,0.631578947368421,0.6118421052631579,0.8157894736842105,0.5394736842105263
ACHES,0.43803418803418803,0.4278137890394814,0.3400696864111498,0.33539944903581265,8122,0.4407894736842105,0.3223684210526316,0.6644736842105263,0.5789473684210527
ALEX,0.5098493626882966,0.4593056346044394,0.3261363636363636,0.3159851301115242,4303,0.875,0.6447368421052632,0.46710526315789475,0.8026315789473685
APATHY,0.4076238174735671,0.443938531587934,0.3310580204778157,0.34423076923076923,8626,0.23684210526315788,0.4342105263157895,0.5394736842105263,0.47368421052631576
AQUA,0.4311841289522629,0.42391304347826086,0.34507548526240117,0.34464555052790347,7741,0.39473684210526316,0.2894736842105263,0.7368421052631579,0.46710526315789475
ARCITYS,0.42340748230535896,0.4487510766580534,0.3629850746268657,0.31541906589891233,9205,0.34210526315789475,0.506578947368421,0.8618421052631579,0.8223684210526315
ASSAULT,0.4117308798159862,0.4510990761388977,0.36312849162011174,0.3693502824858757,8167,0.2631578947368421,0.5328947368421053,0.868421052631579,0.24342105263157895
ATLAS,0.5107033639143731,0.45614035087719296,0.3772455089820359,0.3525641025641026,828,0.881578947368421,0.5986842105263158,0.9013157894736842,0.3815789473684211
ATTACH,0.42823250296559906,0.4561229548834903,0.3257617728531856,0.3108695652173913,10146,0.375,0.5921052631578947,0.4473684210526316,0.8881578947368421
ATURA,0.5662650602409639,0.4247787610619469,0.2978723404255319,0.3125,241,0.9802631578947368,0.29605263157894735,0.16447368421052633,0.8486842105263158
BANCE,0.47793481396019616,0.44304857621440535,0.3228726614363307,0.352236925015753,8572,0.7236842105263158,0.4276315789473684,0.4144736842105263,0.3881578947368421
