name,stat,value,percentile
ACCURACY,kd,1.0570579074047854,0.8356807511737089
ACCURACY,time_s,253177.8,0.9530516431924883
ACCURACY,kpm,1.769349445330515,0.863849765258216
ACCURACY,epm,3.4431928865801034,0.812206572769953
BUZZO,kd,0.9539795464650956,0.460093896713615
BUZZO,time_s,172175,0.7605633802816901
BUZZO,kpm,1.4953390445767387,0.3145539906103286
BUZZO,epm,3.0628139973863804,0.26291079812206575
CHINO,kd,1.0234926893379332,0.7276995305164319
CHINO,time_s,217060.55,0.8356807511737089
CHINO,kpm,1.7221001236751683,0.8028169014084507
CHINO,epm,3.404672106469831,0.755868544600939
DENZ,kd,1.083470620538166,0.8826291079812206
DENZ,time_s,204707.75,0.8169014084507042
DENZ,kpm,1.7348634822081725,0.8262910798122066
DENZ,epm,3.336073011402841,0.647887323943662
FIGHTA,kd,0.8952221290863369,0.28169014084507044
FIGHTA,time_s,198217.95,0.784037558685446
FIGHTA,kpm,1.6164025508285198,0.5774647887323944
FIGHTA,epm,3.4219907934674936,0.784037558685446
KENNY,kd,1.0549596079989405,0.8262910798122066
KENNY,time_s,256543.7,0.9765258215962441
KENNY,kpm,1.863074400189909,0.9624413145539906
KENNY,epm,3.62908931304881,0.9530516431924883
SHOCKZ,kd,1.0759211016002976,0.8732394366197183
SHOCKZ,time_s,198217.95,0.784037558685446
SHOCKZ,kpm,1.7501946720768728,0.8403755868544601
SHOCKZ,epm,3.376888924539881,0.7089201877934272
THEORY,kd,0.8315450643776824,0.1267605633802817
THEORY,time_s,143563,0.7370892018779343
THEORY,kpm,1.6194980600851194,0.596244131455399
THEORY,epm,3.5670750820197403,0.9014084507042254
CRIMSIX,kd,1.0923662910649103,0.9154929577464789
CRIMSIX,time_s,221593.65,0.8544600938967136
CRIMSIX,kpm,1.8636815630772814,0.9671361502347418
CRIMSIX,epm,3.5697773830612927,0.9061032863849765
GUNLESS,kd,1.099890079692223,0.9248826291079812
GUNLESS,time_s,255464.7,0.9624413145539906
GUNLESS,kpm,1.880103200168164,0.971830985915493
GUNLESS,epm,3.589458739309188,0.9248826291079812
LOONY,kd,0.977986539540101,0.5492957746478874
LOONY,time_s,254443.8,0.9577464788732394
LOONY,kpm,1.6447639911053051,0.6713615023474179
LOONY,epm,3.326549910039074,0.6244131455399061
METHODZ,kd,1.1828371278458845,0.9812206572769953
METHODZ,time_s,235997.15,0.9061032863849765
METHODZ,kpm,1.717139380708623,0.7934272300469484
METHODZ,epm,3.168851827236049,0.38967136150234744
OCTANE,kd,1.1687620174530395,0.9671361502347418
OCTANE,time_s,255564.7,0.9671361502347418
OCTANE,kpm,1.8551857905258433,0.9530516431924883
OCTANE,epm,3.4424942098810982,0.8075117370892019
SCUMP,kd,1.045961215452741,0.7981220657276995
SCUMP,time_s,221593.65,0.8544600938967136
SCUMP,kpm,1.854746288984364,0.9483568075117371
SCUMP,epm,3.6279920476060576,0.9483568075117371
SLASHER,kd,1.2039793873461209,0.9906103286384976
SLASHER,time_s,264505.7,0.9953051643192489
SLASHER,kpm,1.9079361994845476,0.9859154929577465
SLASHER,epm,3.492627947148209,0.8544600938967136
TJHALY,kd,0.9869516935036091,0.5915492957746479
TJHALY,time_s,231486.65,0.8826291079812206
TJHALY,kpm,1.842870852379608,0.9436619718309859
TJHALY,epm,3.7101059607541083,0.9765258215962441
BANCE,kd,0.9361512129781218,0.4084507042253521
BANCE,time_s,232626.65,0.892018779342723
BANCE,kpm,1.6223420661390258,0.6056338028169014
BANCE,epm,3.355333535517105,0.6807511737089202
CLASSIC,kd,0.9308955686396033,0.38967136150234744
CLASSIC,time_s,221067.7,0.8497652582159625
CLASSIC,kpm,1.6306317024151422,0.6338028169014085
CLASSIC,epm,3.382312296188,0.7136150234741784
DECEMATE,kd,1.055455093429777,0.8309859154929577
DECEMATE,time_s,183342.55,0.7746478873239436
DECEMATE,kpm,1.7190772136637131,0.7981220657276995
DECEMATE,epm,3.347831695370224,0.6619718309859155
HUKE,kd,1.0865286732270105,0.892018779342723
HUKE,time_s,210322.6,0.8262910798122066
HUKE,kpm,1.8269078073397722,0.9248826291079812
HUKE,epm,3.508324830522255,0.863849765258216
JOSHH,kd,0.9077437858508605,0.3145539906103286
JOSHH,time_s,199447.85,0.8028169014084507
JOSHH,kpm,1.7138314602037574,0.7887323943661971
JOSHH,epm,3.601843790243916,0.9389671361502347
JURD,kd,0.9845288326300985,0.5774647887323944
JURD,time_s,203167.8,0.8075117370892019
JURD,kpm,1.6538053766394083,0.6901408450704225
JURD,epm,3.3335991234831504,0.6431924882629108
MADCAT,kd,1.0547544816835541,0.8215962441314554
MADCAT,time_s,198248.85,0.7934272300469484
MADCAT,kpm,1.6382440553879631,0.6431924882629108
MADCAT,epm,3.1914434812610515,0.4272300469483568
FORMAL,kd,1.1617598412173338,0.9577464788732394
FORMAL,time_s,230529.7,0.8779342723004695
FORMAL,kpm,1.828137545834658,0.9295774647887324
FORMAL,epm,3.4017308832658,0.7464788732394366
JURNII,kd,1.0470723306544203,0.8028169014084507
JURNII,time_s,65295.2,0.5586854460093896
JURNII,kpm,1.6760803244342617,0.7136150234741784
JURNII,epm,3.276810546563913,0.5352112676056338
KARMA,kd,0.990615451767787,0.596244131455399
KARMA,time_s,160058.65,0.755868544600939
KARMA,kpm,1.7015012934321263,0.7605633802816901
KARMA,epm,3.4191216782098315,0.7699530516431925
LUCKY,kd,1.0893388921977367,0.9014084507042254
LUCKY,time_s,65295.2,0.5586854460093896
LUCKY,kpm,1.6806748428674696,0.7323943661971831
