term,estimate,std.error,statistic,p.value
(Intercept),0.8189320248640415,0.11171549505669627,-1.7880616846946427,0.07376605638698241
.pred_WIN,0.8599607978184927,0.06996998289535836,-2.1561885320334446,0.031068946653801482
adv-2,1.1903996601275193,0.10732495779348766,1.62393820755892,0.10438899713707364
adv-1,1.185603228292924,0.10504674604304941,1.620723200748551,0.10507701558289624
adv0,1.1775239176918262,0.10481212606099856,1.5591121476904442,0.11896983898404567
adv1,1.182696782105721,0.10504882808139622,1.5973261437789081,0.11019302607599725
adv2,1.1854014563420086,0.10732001262999111,1.584806922480813,0.11301020910343888
adv3,1.4778213569339267,0.15020403653344253,2.6002559992737293,0.009315423900920087
ABEZY_ENGTRUE,1.189421590777022,0.07463736739405746,2.324132493479607,0.02011839400303121
ACCURACY_ENGTRUE,1.2085942448658977,0.039075241031426275,4.848540869214198,1.2437290952978734e-6
ACHES_ENGTRUE,1.061968950217582,0.042274333415084346,1.4222503455873643,0.1549535880408453
ALEX_ENGTRUE,1.1360182088076374,0.05578412695950396,2.2861225226853485,0.022247091705057127
APATHY_ENGTRUE,1.1069238788210467,0.041950537810117074,2.4215395839747247,0.01545491774376931
AQUA_ENGTRUE,1.1741574309784488,0.045199995072856235,3.5520094658006895,3.823011071275201e-4
ARCITYS_ENGTRUE,1.2689564979839216,0.041585996741322934,5.727767187540944,1.0176108721937491e-8
ASSAULT_ENGTRUE,1.2761184589108177,0.04301232340102382,5.668678124576533,1.4390341503306825e-8
ATTACH_ENGTRUE,1.1954355556338603,0.03924322864528928,4.548825538582632,5.394614198535836e-6
BANCE_ENGTRUE,1.1403821735322364,0.04224056301225487,3.1098886188732333,0.0018715790365704274
BELIEVE_ENGTRUE,1.05004123415354,0.08004597993319724,0.6100173183154356,0.5418503354659918
BLAZT_ENGTRUE,0.9649673448097168,0.047331824829681214,-0.7534257958459875,0.4511940864138875
BUZZO_ENGTRUE,1.0180413984695864,0.04587685483740265,0.3897517351160235,0.6967201366150837
CENSOR_ENGTRUE,0.9369592083122816,0.052499865963115205,-1.2402990150298228,0.21486481659882015
CHINO_ENGTRUE,1.1555575012153008,0.04122936316230838,3.506794708046259,4.535389034426911e-4
CLASSIC_ENGTRUE,1.1120634267599132,0.04209333905802728,2.523373888407729,0.011623474360104712
CLAYSTER_ENGTRUE,1.1534182536975182,0.0398781341535329,3.579152613183788,3.447101317734187e-4
CRIMSIX_ENGTRUE,1.230471943549453,0.04124860572798691,5.027995154623029,4.956343968337646e-7
DAMAGE_ENGTRUE,1.2661591597985458,0.06362339213562465,3.709139461744655,2.0796486152586735e-4
DASHY_ENGTRUE,1.3073170878901628,0.05299506962206107,5.056640448683549,4.267066450500271e-7
DECEMATE_ENGTRUE,1.0583604021785715,0.044876042454294246,1.2639465761463893,0.2062492028030809
DENZ_ENGTRUE,1.257963864417714,0.04400433103174309,5.2152692213848635,1.8355045131786255e-7
DENZA_ENGTRUE,1.2607972079064915,0.13450237017969982,1.722975032099703,0.0848930402694635
DIABOLIC_ENGTRUE,1.1197796377842473,0.07473718500422474,1.5137299319481692,0.13009435012978246
DQVEE_ENGTRUE,1.0854525585183727,0.04939664595169022,1.6599710987238085,0.09692026682174722
ENABLE_ENGTRUE,1.194838841798544,0.04203459773162481,4.234876160963814,2.2867769321529756e-5
FACCENTO_ENGTRUE,0.9953225679353634,0.04319868518839049,-0.10853120786422411,0.9135743264198799
FELONY_ENGTRUE,1.0427589490023361,0.04642145654330153,0.9019543825790265,0.367081100772802
FERO_ENGTRUE,1.1652951253285606,0.041477171349291186,3.6881584838555215,2.2588294734643863e-4
FIGHTA_ENGTRUE,0.9906705498280014,0.04233728040674676,-0.221394524745103,0.8247852552835108
FORMAL_ENGTRUE,1.2951445440472227,0.04160617121766267,6.21596023807825,5.101172118321371e-10
GENERAL_ENGTRUE,1.1065909414759891,0.05932922437881087,1.7071530363398937,0.08779361147594385
GODRX_ENGTRUE,1.2042991272611618,0.0670774971361421,2.7713878504017067,0.005581789664061484
GOONJAR_ENGTRUE,1.0810988408171287,0.06587680383741941,1.183693873234462,0.23653426512993822
GUNLESS_ENGTRUE,1.213775820613646,0.04000339248582829,4.842989601090827,1.278999848772584e-6
HAWQEH_ENGTRUE,1.000980864054901,0.05118249882850093,0.01915465920037964,0.9847177276757114
HUKE_ENGTRUE,1.1885070442745764,0.041913334803012264,4.120357772573333,3.7828452680271155e-5
JKAP_ENGTRUE,1.0468029117934414,0.03903948324660387,1.171651607040024,0.2413369595024896
JOEE_ENGTRUE,0.9195788483064539,0.03951510530343207,-2.121707298652281,0.033862325342130524
JOHN_ENGTRUE,1.1729908022516184,0.03832737360761903,4.162996662812326,3.140979600502333e-5
JOHNNY_ENGTRUE,1.4012111145553152,0.15681772730719917,2.151140373422112,0.03146512165959541
JOSHH_ENGTRUE,1.0114912686053166,0.041568661984343336,0.27486440308005144,0.7834204163567303
JURD_ENGTRUE,1.1166306622686502,0.04366802357934407,2.5262378477954806,0.011529139716741332
JURNII_ENGTRUE,1.1497002076270286,0.08970212315107004,1.5551607305320563,0.11990779419375923
KARMA_ENGTRUE,1.020013296500541,0.0493843748159257,0.40125369754946183,0.6882333497701281
KENNY_ENGTRUE,1.1482543216562797,0.037634176489798124,3.673331551269462,2.394085206745754e-4
LACEFIELD_ENGTRUE,1.085677221401175,0.06439592293176889,1.2765398138360786,0.20176476206013438
LLAMAGOD_ENGTRUE,0.9632698838538145,0.10416955464522938,-0.3592379112302957,0.7194171178398808
LOONY_ENGTRUE,1.0374419390625922,0.041528194414929456,0.8851338163222,0.37608446276040514
LUCKY_ENGTRUE,1.1662414787477742,0.08873524639658985,1.7330899823666448,0.0830796766121359
MADCAT_ENGTRUE,1.1914343893850379,0.04450258938305017,3.935904694728226,8.288386317217664e-5
MALLS_ENGTRUE,0.8470350714602448,0.05950913657517914,-2.789709077611809,0.005275542183840198
MAUX_ENGTRUE,1.3342091436814236,0.08500896108020305,3.3918625861592986,6.941924575315984e-4
MAYHEM_ENGTRUE,1.043077645573923,0.07377652598112341,0.5716671685060072,0.5675474809669818
METHODZSICK_ENGTRUE,1.0453203843659038,0.08659161224742244,0.5118674336679765,0.6087437916654532
METHODZ_ENGTRUE,1.4505519448160098,0.044386526796886004,8.379662984272647,5.30794673026358e-17
MOOSE_ENGTRUE,1.098379070874085,0.0537572030188628,1.7455432170433092,0.08089035655525559
NAGAFEN_ENGTRUE,0.9014123145837274,0.07789677234263206,-1.332436557743015,0.18271677580940726
NAMELESS_ENGTRUE,1.074226329673366,0.05889041483343359,1.2158295938562216,0.2240498428657483
NIMBLE_ENGTRUE,0.9176505057773987,0.060018237620750564,-1.4318759916766386,0.15217931426857692
NOVA_ENGTRUE,1.0431337223879995,0.07150050640357798,0.5906164768487413,0.5547774223336799
OCTANE_ENGTRUE,1.2992902760840261,0.040671509446312114,6.437385223161346,1.2154917103763137e-10
PANDUR_ENGTRUE,1.0623270485358052,0.06744426163207352,0.8964710896809065,0.37000121416788173
PARASITE_ENGTRUE,1.1691168308880289,0.06486946114382636,2.408662190505237,0.016011110267116446
PRESTINNI_ENGTRUE,1.0669455569156467,0.038252693021995965,1.693996983012991,0.09026585634422123
PRIESTAH_ENGTRUE,1.1514246252874867,0.038188006161769435,3.692258236535832,2.2227160139699713e-4
PROTO_ENGTRUE,0.8939656619456005,0.07944394153134247,-1.4109057511816243,0.1582724061514506
RATED_ENGTRUE,1.201703971600188,0.04098611167267543,4.482994810091074,7.360272012778595e-6
REEDY_ENGTRUE,0.9341264723959921,0.05960099086254244,-1.1433273091034775,0.25290272057963104
REPLAYS_ENGTRUE,1.126600120699884,0.03984140179886165,2.991971899399652,0.00277181775887762
RICKY_ENGTRUE,1.1101234620647917,0.045971778610663296,2.272508033877432,0.023055843315108366
RISKIN_ENGTRUE,1.0021488970662351,0.06372208877655977,0.03368677220917335,0.9731269272347741
ROYALTY_ENGTRUE,1.2181084900681738,0.06340044741352552,3.111953395844233,0.0018585383666811681
SAINTS_ENGTRUE,1.1555590152907926,0.044135753071172824,3.275897945484654,0.0010532661330562324
SCUMP_ENGTRUE,1.207348588292545,0.04064341522781637,4.63609430722539,3.5505402478586192e-6
SEANY_ENGTRUE,0.999394747134511,0.041632474923653504,-0.014542400038816483,0.9883972524943296
SHOCKZ_ENGTRUE,1.2677526068278586,0.044371552189531545,5.346798122834146,8.952377094885113e-8
SILLY_ENGTRUE,1.0928516224517233,0.040290642660343566,2.2037486015680168,0.02754202908559141
SKRAPZ_ENGTRUE,1.268374553848646,0.04078778883021452,5.828612157827644,5.589022804005036e-9
SLACKED_ENGTRUE,1.098797392889632,0.04003735885702297,2.3532097330370787,0.018612132855102197
SLASHER_ENGTRUE,1.3393737352133048,0.040613719762631596,7.1946658577922245,6.261391264608526e-13
SPACELY_ENGTRUE,1.0548447977876678,0.08803058371119264,0.6065351694084583,0.5441594357006665
SPOOF_ENGTRUE,1.0670740732887536,0.07164101209429669,0.9061903234755572,0.3648351238622179
SUKRY_ENGTRUE,1.1112288801856773,0.08911653402594176,1.1834672809140199,0.23662400629783123
SWIFTAZOR_ENGTRUE,0.9987159691679752,0.060022410265019824,-0.02140626976318341,0.982921572164936
SWIFTY_ENGTRUE,0.9878675205281754,0.06090841407803436,-0.20041038572334152,0.8411596376243968
TEMP_ENGTRUE,1.1899187458412879,0.04176205342156289,4.16370867187234,3.1311959067395656e-5
THEORY_ENGTRUE,0.8891288898722802,0.04673031529604884,-2.514707428129491,0.011913119978755734
TJHALY_ENGTRUE,1.0811767277679285,0.04014233359629402,1.9443316755438953,0.051855467255565696
TOMMEY_ENGTRUE,1.085622851825889,0.04793433751855653,1.7138836900651284,0.0865500890457264
VORTEX_ENGTRUE,0.9373729449075966,0.04869250179279521,-1.32821385988918,0.18410746697403105
WAILERS_ENGTRUE,1.2261336532933949,0.060687151015497647,3.3592917758989644,7.814251492211698e-4
WUSKIN_ENGTRUE,1.1844556078480961,0.044067352210948534,3.8414667066715515,1.2230132655225698e-4
XOTIC_ENGTRUE,1.0508974416627554,0.062350918047262414,0.796211299147322,0.42590923117771234
ZAYROX_ENGTRUE,1.1781256682198282,0.06299398930892636,2.602228571990017,0.00926200990619941
ZED_ENGTRUE,1.0195545438319997,0.0570439472618283,0.33948930783573184,0.7342411504584988
ZER0_ENGTRUE,1.2253864477332546,0.0401432665883325,5.063271603404985,4.12122051364936e-7
ZOOMAA_ENGTRUE,1.1867173237849493,0.03700856484279939,4.625711496640976,3.733146426662155e-6
