name,estimate,odds,prob
(Intercept),-3.8779208735258517,0.020693805524362174,0.020274254053820894
kill_prob,7.643561245146822,2087.163497955273,0.9995211102957315
ABEZY,0.06359521142638479,1.0656609440699245,0.5158934466613272
ACCURACY,0.12695133254507193,1.1353617612695568,0.5316952761177757
ACHES,0.015164762232859877,1.0152803306900378,0.5037911179048737
ALEX,0.04096851115726347,1.0418192993448907,0.5102406954813065
APATHY,0.0686716911259911,1.0710845048699253,0.5171611792524106
AQUA,0.0830947247743154,1.0866447358506428,0.5207617363804197
ARCITYS,0.16407408513681415,1.1783016064949101,0.540926749069844
ASSAULT,0.1448141666641103,1.1558247595383737,0.5361404049306263
ATTACH,0.08082067526179569,1.0841764594738286,0.5201941776789571
BANCE,0.03642639021099822,1.0370979606459172,0.5091055907380503
BELIEVE,0.06669158438211027,1.0689657415995608,0.516666719079225
BLAZT,-0.03266341172531415,0.9678642765366737,0.491834873002552
BUZZO,-0.025221218020915974,0.9750941797626262,0.4936950297123636
CENSOR,-0.15490269093806666,0.856498518496012,0.4613515766174051
CHINO,0.09534611949873938,1.1000395343742784,0.523818488351479
CLASSIC,-0.008707747915952593,0.9913300547160924,0.4978230767764052
CLAYSTER,0.11426836943053964,1.1210529408567844,0.528536048894632
CRIMSIX,0.16626404854940022,1.180884871497614,0.5414705227822045
DAMAGE,0.10854195688422785,1.1146516748685265,0.527108879498004
DASHY,0.22303380851655247,1.249862829029829,0.5555284584033003
DECEMATE,0.04047532896769721,1.0413056193010435,0.5101174510348888
DENZ,0.1393150340692646,1.1494861702741601,0.5347725359533468
DENZA,0.05678978703550977,1.0584332906083136,0.5141936323306949
DIABOLIC,-0.025167395956408083,0.9751466627568296,0.49370848309348303
DQVEE,-0.015542559611316571,0.984577602619949,0.49611443831682595
ENABLE,0.06789563329645353,1.0702536038091635,0.5169673907776081
FACCENTO,-0.02899165912589878,0.9714245669628256,0.49275259284173434
FELONY,-0.0027100204498370414,0.9972936483406681,0.4993224953021854
FERO,0.07020092216639498,1.0727236935713462,0.5175430265492942
FIGHTA,-0.058600310146562994,0.9430836347971674,0.4853541133836028
FORMAL,0.20926668901638387,1.2327737219061687,0.5521265813061086
GENERAL,0.06631839529873926,1.0685668896825178,0.5165735248940975
GODRX,0.12131985370522025,1.128985964966296,0.5302928171178286
GOONJAR,0.05497539706687418,1.0565146209971683,0.513740388816143
GUNLESS,0.1396597017332224,1.149882429272129,0.53485828509303035
HAWQEH,-0.012941470346367985,0.9871419104035861,0.4967646775680448
HUKE,0.12842798075136955,1.1370395296097764,0.5320629374681712
JKAP,0.020619888237054688,1.020833946889385,0.5051547894178673
JOEE,-0.1297625218306102,0.8783039841784887,0.46760481347891686
JOHN,0.09142763145743973,1.0957374768989387,0.5228409993985986
JOHNNY,0.21136907962191753,1.2353682201665872,0.5526464092231406
JOSHH,-0.061708138803226405,0.940157242170152,0.48457785881238385
JURD,0.038040257608764644,1.0387730505558168,0.50950891776435
JURNII,0.0679350876642634,1.0702958308215125,0.5169772430043532
KARMA,-0.005568074229534818,0.9944473987641983,0.4986079850390534
KENNY,0.1344143395451413,1.1438666706662854,0.5335530825295152
LACEFIELD,0.01111051713895109,1.0111724681578644,0.5027776007117126
LLAMAGOD,-0.041574003954741034,0.9592783423235933,0.4896079957613084
LOONY,0.025741298144404463,1.0260754665074177,0.5064349692147369
LUCKY,0.004395695574353185,1.0044053708154213,0.5010989221241283
MADCAT,0.08007264521296775,1.0833657661531944,0.5200074724053674
MALLS,-0.16522252356214523,0.8477050487514689,0.4587880783917758
MAUX,0.13360311116165385,1.1429391098388195,0.5333511832376727
MAYHEM,-0.09531865075690345,0.9090832082575453,0.476188363254885
METHODZSICK,0.11010369347743018,1.116393827215283,0.5274981493799837
METHODZ,0.2753068079757976,1.3169346589486532,0.5683952518308107
MOOSE,-0.04111322019656799,0.9597204640567374,0.4897231424884237
NAGAFEN,-0.1072520173953478,0.8982992574220746,0.47321266860841615
NAMELESS,0.050472205268297834,1.0517676293496587,0.51261537335153
NIMBLE,-0.12778988393495352,0.8800382698980661,0.4680959339970143
NOVA,-0.031985738831203925,0.9685203942135331,0.49200424697681533
OCTANE,0.25497817442215726,1.2904334561096877,0.5634014176083051
PANDUR,0.01862959525777045,1.0188042088086298,0.5046572641186752
PARASITE,0.11999066374405486,1.1274863250293314,0.52996172608244
PRESTINNI,0.011956390145037729,1.0120281535027245,0.5029890619278327
PRIESTAH,0.09902731364285756,1.104096456043319,0.5247366169322554
PROTO,-0.10729337485829005,0.8982621068120575,0.47320235893061124
RATED,0.15961305546025292,1.1730568752092052,0.5398187634165222
REEDY,-0.11570162905365415,0.890740954873865,0.47110681797935033
REPLAYS,0.05142776019396494,1.0527731314182591,0.5128541071126058
RICKY,0.020927530119091108,1.02114804647867,0.5052316915912011
RISKIN,-0.12003487865182984,0.8868895026675166,0.4700272598971541
ROYALTY,0.13718253645060136,1.1470375055671436,0.5342419508708822
SAINTS,0.04553045136818557,1.046582874009146,0.511380646882355
SCUMP,0.12499620109095787,1.1331441483470985,0.5312084273466159
SEANY,-0.011107593073976612,0.9889538684642359,0.49722313028197745
SHOCKZ,0.13110435897312517,1.1400867533868375,0.5327292230478835
SILLY,0.0719316379145271,1.0745818808944052,0.5179751596168022
SKRAPZ,0.13619340798354562,1.145903499049128,0.533995820202022
SLACKED,0.04841569356976596,1.0496068794809827,0.5121015595667654
SLASHER,0.23035877202284663,1.259051641412521,0.5573363699757088
SPACELY,-0.03327315672521304,0.9672743060175405,0.4916824781672903
