player,type,estimate,std.error,statistic,p.value
(Intercept),NA,1.6819052758086117,0.048496665919270876,10.720886347661486,8.122122279234481e-27
adv-1,NA,1.1187883440080675,0.027816907348214945,4.035181286983851,5.456015464441674e-5
adv0,NA,1.1543750762948224,0.027092954221817667,5.298762803343383,1.1658997550918446e-7
adv1,NA,1.1749443842473177,0.03017251488205298,5.343300502150837,9.126926931961576e-8
adv2,NA,1.129898728475338,0.05345702288275462,2.284601747419375,0.022336190386642255
adv3,NA,1.908140669739854,0.3837118375107057,1.6838920080727728,0.09220254114455535
adv-3,NA,1.0375235486540293,0.09225357882823773,0.39929800914906327,0.6896736338741113
adv-4,NA,0.5063491145686482,1.4193687890618647,-0.47945882923771843,0.6316122506161133
ABEZY,P1,0.8664724189757838,0.11789066265088712,-1.215745144612885,0.22408202108706887
ABEZY,P2,1.077603172551981,0.12624140232102163,0.5920346956395609,0.5538273552381932
ABEZY,P3,0.8280394464004796,0.13243789021693256,-1.4247771905931443,0.1542216177208503
ACCURACY,P2,1.0813690436620602,0.08734733763341312,0.8955953725397983,0.37046890806032684
ACCURACY,P3,1.10610704731407,0.08819441188228574,1.1434589116335414,0.2528481049013643
ACCURACY,P1,0.8098887991775114,0.0633028687506809,-3.330944234717061,8.655193939820841e-4
ACHES,P1,0.8844776817938398,0.07159843668644668,-1.7145346176477996,0.0864305849594127
ACHES,P2,0.9902388788780456,0.0975224073874295,-0.10058276273585502,0.9198816806477228
ACHES,P3,1.0421684018297832,0.09712699374949098,0.42525298805872486,0.6706522604755285
ALEX,P2,1.2345081685750638,0.11672675060028834,1.8048360432164454,0.07110034238300104
ALEX,P3,0.9082559794038434,0.11585735076351643,-0.8305819512912163,0.4062098342878907
ALEX,P1,0.8555871766369751,0.08808715905314214,-1.7706018803481371,0.07662692905679
APATHY,P1,0.940348394435254,0.07219319469466659,-0.8519478915914351,0.3942430141303135
APATHY,P3,1.0725308491827148,0.09624712765258672,0.7275140247908466,0.4669111270218245
APATHY,P2,1.0283537600571906,0.09640038696737342,0.2900323669282427,0.7717914760751399
AQUA,P2,0.9951120746898662,0.09934285054481244,-0.04932323021314028,0.9606617070125342
AQUA,P3,1.0455343692367127,0.09824605938503204,0.4532305226056159,0.6503827559501448
AQUA,P1,0.8938549582093448,0.07285840215478495,-1.5401347379518615,0.12352751377146122
ARCITYS,P3,1.1055746660611698,0.10157358123968507,0.9881039768847412,0.3231017282931852
ARCITYS,P1,0.7823713892061485,0.06620573135612394,-3.707016354793347,2.097154044688621e-4
ARCITYS,P2,1.2638438585612093,0.10312190474639671,2.2706888420148132,0.023165820962466537
ASSAULT,P3,1.2594712798203405,0.09371653086794508,2.461593611840766,0.013832129588482208
ASSAULT,P2,0.9317395954365778,0.09320325171560082,-0.758577689873652,0.44810522275501896
ASSAULT,P1,0.7797039317074487,0.07096892284754955,-3.506337648998935,4.5431849756748786e-4
ATTACH,P3,1.1259156290981704,0.16164475568121459,0.7336866368313005,0.4631397447706449
ATTACH,P1,0.9154668092422071,0.06619976453406924,-1.3341613884516241,0.18215097060754765
ATTACH,P2,1.1264710060262841,0.16151313895911998,0.7373377994063038,0.4609169508854645
BANCE,P3,1.1032770174614495,0.10665577376627369,0.9215146482163529,0.356781797092499
BANCE,P1,0.909887727089249,0.0685142748030872,-1.3783122448452707,0.16810690424573252
BANCE,P2,1.0386358595202394,0.10445250280717688,0.3629226452171682,0.7166626699855332
BELIEVE,P1,0.7794552314506029,0.12772289924696492,-1.9507858496354598,0.051082525826590675
BELIEVE,P2,1.153529738766698,0.22664096756191776,0.6301887128703829,0.528571123165142
BELIEVE,P3,0.9426756861566605,0.22878758484657774,-0.2580252449469737,0.7963874240859534
BLAZT,P3,0.9993346671659088,0.09121187658352321,-0.007296793916903733,0.9941780524535758
BLAZT,P1,0.9185751716528212,0.0770185853433682,-1.1027407935530746,0.2701397460360709
BLAZT,P2,1.1390079528269597,0.08812485544252437,1.4769688537460726,0.13968398643871682
BUZZO,P2,1.0535137879272503,0.1721151202015033,0.3028847311551612,0.7619777079059296
BUZZO,P1,1.058247690797631,0.08258616734710308,0.6855193810272431,0.49301623492116375
BUZZO,P3,0.967230068214287,0.17290165724725012,-0.19270429675412287,0.8471905582059728
CENSOR,P2,1.0822681401305607,0.09688866591738743,0.815977472166767,0.41451302042390703
CENSOR,P3,0.8087859531895129,0.09832818221796186,-2.1582925068948686,0.03090509694176697
CENSOR,P1,1.1105620748353076,0.0972347528760823,1.078485395231864,0.2808171959570918
CHINO,P1,0.7322733852454096,0.06605093922728657,-4.717591623679737,2.3865293142849137e-6
CHINO,P3,1.055131288267539,0.08759475073052256,0.6126531851905033,0.5401056833352462
CHINO,P2,1.0047993385521583,0.08784984026479833,0.05450047978561857,0.9565364263458365
CLASSIC,P3,0.938907645426131,0.09131469189231069,-0.6903397195281563,0.48998057524141087
CLASSIC,P1,1.0843507549746183,0.07286606836569118,1.1113736090695088,0.26640756711677116
CLASSIC,P2,1.1870752176565018,0.09073271103601036,1.8900843976483759,0.05874667345544121
CLAYSTER,P1,0.8271885797586382,0.06741545346881757,-2.8142298458630886,0.0048894255196413995
CLAYSTER,P2,1.439172544876953,0.10352653739707268,3.5166667017949096,4.370021480294573e-4
CLAYSTER,P3,1.053359040486144,0.10156204795583218,0.511846159111802,0.608758682140802
CRIMSIX,P3,1.0298486846926715,0.10865143521272438,0.27069944659769785,0.7866222024756142
CRIMSIX,P1,0.7809089267834806,0.06471499849623161,-3.8213204468995206,1.3273903991930548e-4
