term,estimate,std.error,statistic,p.value
(Intercept),0.9094013266851396,0.03278878968351061,-2.896379514197457,0.0037749556914660064
adv-1,0.8297624652035153,0.0205890140709312,-9.063853422487544,1.2592158694838087e-19
adv0,0.6571172254408,0.02010560427750381,-20.88436862127981,7.427992168160655e-97
adv1,0.5084139108264316,0.02306286422458202,-29.33110872449286,4.162076162797542e-189
adv2,0.3213592354660377,0.03575694939766411,-31.747553611655032,3.431950161836073e-221
adv3,0.06797051970826454,0.1824517793074107,-14.736393427990652,3.763537606559711e-49
adv-3,0.949521043637459,0.0676137257287225,-0.7660809333480612,0.4436281471548708
adv-4,0.23931635015118824,1.1188637952481357,-1.2780545474471963,0.20123019374578163
ABEZY_AGAINST,0.9770570680855866,0.09306849062827968,-0.24938856252305272,0.8030602315015641
ABEZY_KILLER,1.5721899085567868,0.0803585559044118,5.630632464558331,1.7954997876078074e-8
ABEZY_DEAD,0.9161711796814707,0.11068024862050761,-0.7910359389061676,0.428923019777899
ACCURACY_AGAINST,1.0760999682453105,0.048191007906731254,1.5219304990903473,0.12802649617088255
ACCURACY_DEAD,0.8784326457851511,0.06525494556421678,-1.9863022295216723,0.04699977524047622
ACCURACY_KILLER,1.4167110553230136,0.041650212188032276,8.363415422085636,6.092820990577929e-17
ACHES_KILLER,1.291668058941632,0.046496607622325346,5.504368277913431,3.7049434677195895e-8
ACHES_AGAINST,1.0921804982164043,0.05373084734306979,1.641071366463952,0.10078260171400136
ACHES_DEAD,0.7554027592526721,0.07178649656699489,-3.9074788354461245,9.326420814055001e-5
ALEX_KILLER,1.58129399018075,0.060228429401091715,7.608425083314152,2.7745600458789397e-14
ALEX_AGAINST,1.273123902833141,0.0589691582867817,4.094914243711093,4.223246791129464e-5
ALEX_DEAD,0.8581836412312591,0.08416840006074297,-1.817037845756358,0.0692113186172589
APATHY_KILLER,1.1968732928917516,0.04577120673307627,3.926323553786635,8.625411262010725e-5
APATHY_AGAINST,1.0619501795351993,0.0538015554267207,1.11719836568278,0.26390951924999895
APATHY_DEAD,0.847525117146273,0.0711307506029322,-2.3257845870265177,0.02003004529102446
